person_responsible,Journal,Publisher,Society Affiliation (optional),URL to author guidelines or policy,Data Citation (0 to 3),Justification,Data Transparency (0 to 3),Justification,Analytic Methods (Code) Transparency (0 to 3),Justification,Research Materials Transparency (0 to 3),Justification,Design and Analysis (Reporting Guidelines) Transparency (0 to 3),Justification,Study Preregistration (0 to 3),Justification,Study + Analysis Plan Preregistration (0 to 3),Justification,Replication (0 to 3),Justification,Registered Reports - Does the journal publish Registered Reports or take other steps to address publication bias?  (0 to 3),Justification,Registered Reports - Does the journal issue Open Science Badges? (0 to 3),Total
Gabriel,Acta Amazonica,Instituto Nacional de Pesquisas da Amazônia,,https://www.scielo.br/revistas/aa/pinstruc.htm,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,1
Gabriel,Acta Botanica Brasilica,Sociedade Botânica do Brasil,Sociedade Botânica do Brasil,https://www.scielo.br/revistas/abb/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Gabriel,Acta Limnologica Brasiliensia,Associação Brasileira de Limnologia,,https://www.scielo.br/revistas/alb/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Gabriel,Aletheia,Universidade Luterana do Brasil,,http://pepsic.bvsalud.org/revistas/aletheia/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Gabriel,Anais da Academia Brasileira de Ciências,Academia Brasileira de Ciências,,https://www.scielo.br/revistas/aabc/iinstruc.htm,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
Gabriel,Arquivos Brasileiros de Psicologia,Universidade Federal do Rio de Janeiro,,http://pepsic.bvsalud.org/revistas/arbp/iinstruc.htm,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
Gabriel,Avaliação Psicológica,Universidade São Francisco,,http://pepsic.bvsalud.org/revistas/avp/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Cristal,Biota Neotropica,Instituto Virtual da Biodiversidade | BIOTA - FAPESP,,https://www.scielo.br/revistas/bn/iinstruc.htm,1,,2,,1,,0,,0,,0,,0,,0,,0,,0,4
Cristal,Brazilian Archives of Biology and Technology,Instituto de Tecnologia do Paraná - Tecpar,,https://www.scielo.br/revistas/babt/iinstruc.htm#002,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
Cristal,Brazilian Journal of Biology,Instituto Internacional de Ecologia,,https://www.scielo.br/revistas/bjb/iinstruc.htm,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
Cristal,Brazilian Journal of Infectious Diseases,Brazilian Society of Infectious Diseases,Brazilian Society of Infectious Diseases,https://www.elsevier.com/journals/the-brazilian-journal-of-infectious-diseases/1413-8670/guide-for-authors,3,,2,,2,,1,,2,,1,,1,,0,,1,,0,13
Cristal,Brazilian Journal of Medical and Biological Research,Associação Brasileira de Divulgação Científica,,https://www.scielo.br/revistas/bjmbr/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Cristal,Cadernos de psicanálise (Rio de Janeiro),Círculo Psicanalítico do Rio de Janeiro,,http://pepsic.bvsalud.org/revistas/cadpsi/iinstruc.htm#1b,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Cristal,Ciência e Cultura,Sociedade Brasileira para o Progresso da Ciência,Sociedade Brasileira para o Progresso da Ciência,http://cienciaecultura.bvs.br/revistas/cic/pinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Cristal,Crop Breeding and Applied Biotechnology,Crop Breeding and Applied Biotechnology,Brazilian Society of Plant Breeding,https://www.scielo.br/revistas/cbab/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Bruna,Current Ethology,Sociedade Brasileira de Etologia,Sociedade Brasileira de Etologia,http://pepsic.bvsalud.org/revistas/ce/pinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,,0
Bruna,Genetics and Molecular Biology,Sociedade Brasileira de Genética,Sociedade Brasileira de Genética,https://www.scielo.br/revistas/gmb/iinstruc.htm,1,,2,,0,,0,,0,,0,,0,,0,,0,,0,3
Bruna,Gerais : Revista Interinstitucional de Psicologia,"Universidade Federal de São João del-Rei, Universidade Federal de Minas Gerais e Universidade Federal de Uberlândia.",,http://pepsic.bvsalud.org/revistas/gerais/pinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Bruna,Hoehnea,Instituto de Botânica,,https://www.scielo.br/revistas/hoehnea/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Bruna,Iheringia. Série Zoologia,Museu de Ciências Naturais,,https://www.scielo.br/revistas/isz/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Bruna,Journal of Venomous Animals and Toxins including Tropical Diseases,Centro de Estudos de Venenos e Animais Peçonhentos,,https://jvat.org/guide-for-authors,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,1
Bruna,Memórias do Instituto Oswaldo Cruz,"Instituto Oswaldo Cruz, Ministério da Saúde",,https://www.scielo.br/revistas/mioc/iinstruc.htm,1,,0,,0,,0,,0,,1,,0,,0,,0,,0,2
Thayne,Nauplius,Sociedade Brasileira de Carcinologia,,https://www.scielo.br/revistas/nau/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Thayne,Neotropical Ichthyology,Sociedade Brasileira de Ictiologia,,https://www.scielo.br/revistas/ni/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Thayne,Papéis Avulsos de Zoologia,Museu de Zoologia da Universidade de São Paulo,,https://www.scielo.br/revistas/paz/iinstruc.htm,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
Thayne,Revista Ambiente & Ãgua,Instituto de Pesquisas Ambientais em Bacias Hidrográficas,,https://www.scielo.br/revistas/ambiagua/pinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Thayne,Revista Brasileira de Entomologia,Sociedade Brasileira De Entomologia,,https://www.scielo.br/revistas/rbent/iinstruc.htm,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
Thayne,Revista Brasileira de Parasitologia Veterinária,Colégio Brasileiro de Parasitologia Veterinária,,http://rbpv.org.br/guia-do-autor,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Thayne,Revista Brasileira de Terapia Comportamental e Cognitiva,Associação Brasileira de Psicoterapia e Medicina Comportamental,,http://www.usp.br/rbtcc/index.php/RBTCC/about/submissions,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Thayne,Revista Ceres,Universidade Federal de Viçosa,,https://www.scielo.br/revistas/rceres/iinstruc.htm,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0
Camila,Revista da SPAGESP,Sociedade de Psicoterapias Analíticas Grupais do Estado de São Paulo,Sociedade de Psicoterapias Analíticas Grupais do Estado de São Paulo,http://pepsic.bvsalud.org/revistas/rspagesp/pinstruc.htm,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
Camila,Revista do Instituto de Medicina Tropical de São Paulo,Instituto de Medicina Tropical,,https://www.scielo.br/revistas/rimtsp/iinstruc.htm,1,,1,,1,,2,,0,,0,,0,,0,,0,,0,5
Camila,Revista Psicologia e Saúde,"Universidade Católica Dom Bosco, Programa de Mestrado e Doutorado em Psicologia",,https://pssa.ucdb.br/pssa/about/submissions,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,2
Camila,Rodriguésia,Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,,https://www.scielo.br/revistas/rod/pinstruc.htm,1,,1,,1,,2,,0,,1,,0,,0,,0,,0,6
Camila,Temas em Psicologia,Sociedade Brasileira de Psicologia,Sociedade Brasileira de Psicologia,https://www.springer.com/journal/43076/submission-guidelines,1,,2,,2,,2,,0,,0,,0,,0,,1,,1,9
Camila,Tempo psicanalitico,Sociedade de Psicanálise Iracy Doyle,Sociedade de Psicanálise Iracy Doyle,http://pepsic.bvsalud.org/revistas/tpsi/pinstruc.htm,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,1
Camila,TransFormaçÃµes em Psicologia (Online),"Universidade de São Paulo, Instituto de Psicologia",,-,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,0
Camila,Zoologia (Curitiba),Sociedade Brasileira de Zoologia,Sociedade Brasileira de Zoologia,https://zoologia.pensoft.net/about#FocusandScope,1,,1,,1,,1,,0,,1,,1,,1,,0,,1,8